"nuts2","year","TED","ted_im"
"HU12",2009,18.3521620074028,18.3521620074028
"HU12",2010,18.2408560440553,18.2408560440553
"HU12",2011,18.8096378109822,18.8096378109822
"HU12",2012,18.7373886453057,18.7373886453057
"HU12",2013,19.3444485701163,19.3444485701163
"HU12",2014,18.923325860403,18.923325860403
"HU12",2015,NA,19.4546377427338
"HU12",2016,17.4780904084441,17.4780904084441
"HU12",2017,17.9545813668656,17.9545813668656
"HU12",2018,18.8430227242252,18.8430227242252
"HU12",2019,23.8045367758019,23.8045367758019
"HU12",2020,18.162497672213,18.162497672213
"HU21",2009,19.2328973003006,19.2328973003006
"HU21",2010,18.6304907031789,18.6304907031789
"HU21",2011,18.2553498038679,18.2553498038679
"HU21",2012,20.2469834306984,20.2469834306984
"HU21",2013,18.9226948759381,18.9226948759381
"HU21",2014,18.8656145538211,18.8656145538211
"HU21",2015,NA,19.2102513120837
"HU21",2016,18.6354948813327,18.6354948813327
"HU21",2017,17.7301176268229,17.7301176268229
"HU21",2018,19.4730360308992,19.4730360308992
"HU21",2019,18.943144528395,18.943144528395
"HU21",2020,19.2795390912224,19.2795390912224
"HU22",2009,19.4834645660845,19.4834645660845
"HU22",2010,19.152539511352,19.152539511352
"HU22",2011,19.5584905003113,19.5584905003113
"HU22",2012,18.915377586642,18.915377586642
"HU22",2013,19.5245585167954,19.5245585167954
"HU22",2014,19.1770265718103,19.1770265718103
"HU22",2015,NA,19.2087207687837
"HU22",2016,19.2830828359363,19.2830828359363
"HU22",2017,19.0079643834695,19.0079643834695
"HU22",2018,19.4801576016839,19.4801576016839
"HU22",2019,19.3540274854036,19.3540274854036
"HU22",2020,19.5045843406599,19.5045843406599
"HU23",2009,19.4238279102598,19.4238279102598
"HU23",2010,18.7886317413579,18.7886317413579
"HU23",2011,19.3637658757721,19.3637658757721
"HU23",2012,19.6410718855256,19.6410718855256
"HU23",2013,19.7723262337832,19.7723262337832
"HU23",2014,18.6466567022919,18.6466567022919
"HU23",2015,NA,19.1855734714796
"HU23",2016,19.2211890576048,19.2211890576048
"HU23",2017,19.2306959195133,19.2306959195133
"HU23",2018,18.4675566145543,18.4675566145543
"HU23",2019,18.7832096342834,18.7832096342834
"HU23",2020,19.2132610286895,19.2132610286895
"HU31",2009,18.6865514353288,18.6865514353288
"HU31",2010,19.0956084323332,19.0956084323332
"HU31",2011,18.7212393108962,18.7212393108962
"HU31",2012,19.5384891576653,19.5384891576653
"HU31",2013,19.2163917800944,19.2163917800944
"HU31",2014,19.19213772594,19.19213772594
"HU31",2015,NA,18.8350393132922
"HU31",2016,17.5604858267818,17.5604858267818
"HU31",2017,17.740663347295,17.740663347295
"HU31",2018,18.2787501677047,18.2787501677047
"HU31",2019,19.2070792103848,19.2070792103848
"HU31",2020,18.1207332395531,18.1207332395531
"HU32",2009,19.4047664563525,19.4047664563525
"HU32",2010,19.4783155126387,19.4783155126387
"HU32",2011,18.7704086955205,18.7704086955205
"HU32",2012,19.221700300845,19.221700300845
"HU32",2013,19.5614378068897,19.5614378068897
"HU32",2014,19.3339629052132,19.3339629052132
"HU32",2015,NA,19.3200613564791
"HU32",2016,18.4185254435603,18.4185254435603
"HU32",2017,18.467250052036,18.467250052036
"HU32",2018,19.8015135117115,19.8015135117115
"HU32",2019,19.408327661472,19.408327661472
"HU32",2020,19.1377602034394,19.1377602034394
"HU33",2009,19.7323349047564,19.7323349047564
"HU33",2010,19.0495618183198,19.0495618183198
"HU33",2011,19.6977501914319,19.6977501914319
"HU33",2012,19.2351359359131,19.2351359359131
"HU33",2013,20.4103836543905,20.4103836543905
"HU33",2014,19.6546022908133,19.6546022908133
"HU33",2015,NA,19.2439210206984
"HU33",2016,18.7879389727134,18.7879389727134
"HU33",2017,19.5089212473299,19.5089212473299
"HU33",2018,19.431629080641,19.431629080641
"HU33",2019,19.837806431074,19.837806431074
"HU33",2020,19.48492534294,19.48492534294
"IE04",2009,NA,20.5811482257833
"IE04",2010,NA,19.7557254962305
"IE04",2011,NA,20.551809392465
"IE04",2012,NA,19.9763891740513
"IE04",2013,NA,19.9911438404567
"IE04",2014,NA,19.2526746432552
"IE04",2015,NA,19.9689911321453
"IE04",2016,NA,20.1938371595201
"IE04",2017,NA,20.0334832038729
"IE04",2018,NA,20.3624651602602
"IE04",2019,NA,20.0119915723262
"IE04",2020,NA,19.8311256182132
"IE05",2009,NA,19.6570287515759
"IE05",2010,NA,20.4646707584181
"IE05",2011,NA,19.8614001973032
"IE05",2012,NA,19.7323897789945
"IE05",2013,NA,19.8450015940513
"IE05",2014,NA,20.0905239888005
"IE05",2015,NA,20.1980143538857
"IE05",2016,NA,19.9118919035071
"IE05",2017,NA,19.5580277697171
"IE05",2018,NA,19.4420987498292
"IE05",2019,NA,20.2459216846778
"IE05",2020,NA,19.8358356287956
"IE06",2009,NA,18.2720365156988
"IE06",2010,NA,17.7167579415044
"IE06",2011,NA,17.5595724392125
"IE06",2012,NA,16.6977998232265
"IE06",2013,NA,15.939976225533
"IE06",2014,NA,14.9198308289489
"IE06",2015,NA,14.1843252302301
"IE06",2016,12.0716067592596,12.0716067592596
"IE06",2017,NA,12.7552490679364
"IE06",2018,NA,12.8399250725153
"IE06",2019,12.5716666957234,12.5716666957234
"IE06",2020,NA,10.8051004103964
"IS00",2009,18.587955046435,18.587955046435
"IS00",2010,16.4428796013493,16.4428796013493
"IS00",2011,18.3642945610065,18.3642945610065
"IS00",2012,17.9998363385366,17.9998363385366
"IS00",2013,18.5229925792232,18.5229925792232
"IS00",2014,17.1361640920977,17.1361640920977
"IS00",2015,NA,18.689345265215
"IS00",2016,18.8734661575962,18.8734661575962
"IS00",2017,18.5221590786077,18.5221590786077
"IS00",2018,19.6364464823663,19.6364464823663
"IS00",2019,20.5446104509241,20.5446104509241
"IS00",2020,19.0375649309363,19.0375649309363
"ITC1",2009,21.4653187963207,21.4653187963207
"ITC1",2010,21.1969770991811,21.1969770991811
"ITC1",2011,22.290802174765,22.290802174765
"ITC1",2012,21.1153094173227,21.1153094173227
"ITC1",2013,21.5763529602203,21.5763529602203
"ITC1",2014,21.1309606769006,21.1309606769006
"ITC1",2015,NA,21.5646803585603
"ITC1",2016,21.8161020603912,21.8161020603912
"ITC1",2017,20.8369990459673,20.8369990459673
"ITC1",2018,21.7398541717316,21.7398541717316
"ITC1",2019,21.7143140711362,21.7143140711362
"ITC1",2020,21.4247578483675,21.4247578483675
"ITC2",2009,18.4731361975912,18.4731361975912
"ITC2",2010,18.3479626262725,18.3479626262725
"ITC2",2011,18.2647522598004,18.2647522598004
"ITC2",2012,19.4904373689437,19.4904373689437
"ITC2",2013,19.4888133069871,19.4888133069871
"ITC2",2014,18.4269851640677,18.4269851640677
"ITC2",2015,NA,18.3604682255591
"ITC2",2016,18.1971034748462,18.1971034748462
"ITC2",2017,18.6807882917184,18.6807882917184
"ITC2",2018,19.3627792142963,19.3627792142963
"ITC2",2019,18.6469628569849,18.6469628569849
"ITC2",2020,18.3726601374225,18.3726601374225
"ITC3",2009,20.2116710816412,20.2116710816412
"ITC3",2010,20.8286821803938,20.8286821803938
"ITC3",2011,19.9497947178312,19.9497947178312
"ITC3",2012,20.1373229810772,20.1373229810772
"ITC3",2013,19.8694921820535,19.8694921820535
"ITC3",2014,20.5738493440395,20.5738493440395
"ITC3",2015,NA,20.44617779184
"ITC3",2016,21.1873064612072,21.1873064612072
"ITC3",2017,20.7619119709838,20.7619119709838
"ITC3",2018,20.6500408562948,20.6500408562948
"ITC3",2019,21.226713987486,21.226713987486
"ITC3",2020,20.4698424665281,20.4698424665281
"ITC4",2009,22.4039121648446,22.4039121648446
"ITC4",2010,22.5755780095711,22.5755780095711
"ITC4",2011,22.8737454046083,22.8737454046083
"ITC4",2012,22.0700518654029,22.0700518654029
"ITC4",2013,22.3471830450791,22.3471830450791
"ITC4",2014,22.0822952179414,22.0822952179414
"ITC4",2015,NA,21.8260471006223
"ITC4",2016,21.9397207815677,21.9397207815677
"ITC4",2017,22.2264583925306,22.2264583925306
"ITC4",2018,22.6257666249118,22.6257666249118
"ITC4",2019,22.7798884723143,22.7798884723143
"ITC4",2020,22.7077488571075,22.7077488571075
"ITF1",2009,19.1350220915991,19.1350220915991
"ITF1",2010,18.9527399443651,18.9527399443651
"ITF1",2011,18.6254974224912,18.6254974224912
"ITF1",2012,19.4969114899629,19.4969114899629
"ITF1",2013,20.1184905199561,20.1184905199561
"ITF1",2014,19.4503766471727,19.4503766471727
"ITF1",2015,NA,19.1942136257572
"ITF1",2016,19.6835047181097,19.6835047181097
"ITF1",2017,19.3194806236547,19.3194806236547
"ITF1",2018,19.2303451348609,19.2303451348609
"ITF1",2019,19.5367860523088,19.5367860523088
"ITF1",2020,19.5963402859044,19.5963402859044
"ITF2",2009,17.1528020780509,17.1528020780509
"ITF2",2010,16.9804026315674,16.9804026315674
"ITF2",2011,15.8559556097509,15.8559556097509
"ITF2",2012,17.5125931878414,17.5125931878414
"ITF2",2013,20.0604576356865,20.0604576356865
"ITF2",2014,16.7950746327781,16.7950746327781
"ITF2",2015,NA,17.6410190073878
"ITF2",2016,16.7269397209531,16.7269397209531
"ITF2",2017,18.1367330431138,18.1367330431138
"ITF2",2018,18.8289745939284,18.8289745939284
"ITF2",2019,18.3008594629345,18.3008594629345
"ITF2",2020,17.1708607615221,17.1708607615221
"ITF3",2009,21.4444612104637,21.4444612104637
"ITF3",2010,20.8834792215394,20.8834792215394
"ITF3",2011,21.7556315846074,21.7556315846074
"ITF3",2012,20.8100927400768,20.8100927400768
"ITF3",2013,22.2174857544788,22.2174857544788
"ITF3",2014,20.8800280745262,20.8800280745262
"ITF3",2015,NA,21.774403900735
"ITF3",2016,21.5290513762133,21.5290513762133
"ITF3",2017,22.6171184322875,22.6171184322875
"ITF3",2018,21.78152458782,21.78152458782
"ITF3",2019,22.6410557302329,22.6410557302329
"ITF3",2020,22.4232231446407,22.4232231446407
"ITF4",2009,20.041859278128,20.041859278128
"ITF4",2010,19.8847752656233,19.8847752656233
"ITF4",2011,20.1701751270361,20.1701751270361
"ITF4",2012,20.7201495728151,20.7201495728151
"ITF4",2013,20.1016781881756,20.1016781881756
"ITF4",2014,20.1674734778126,20.1674734778126
"ITF4",2015,NA,20.8117227267661
"ITF4",2016,20.8690124709715,20.8690124709715
"ITF4",2017,20.0960448240846,20.0960448240846
"ITF4",2018,21.4766081060984,21.4766081060984
"ITF4",2019,21.3170541304091,21.3170541304091
"ITF4",2020,21.0245867535301,21.0245867535301
"ITF5",2009,18.6491749413944,18.6491749413944
"ITF5",2010,19.3950900514058,19.3950900514058
"ITF5",2011,19.7112863907228,19.7112863907228
"ITF5",2012,19.0781353022925,19.0781353022925
"ITF5",2013,19.1464858365871,19.1464858365871
"ITF5",2014,18.6191402416996,18.6191402416996
"ITF5",2015,NA,19.4789512965419
"ITF5",2016,19.788460573489,19.788460573489
"ITF5",2017,18.7746246883443,18.7746246883443
"ITF5",2018,19.5181117388677,19.5181117388677
"ITF5",2019,19.0674230805259,19.0674230805259
"ITF5",2020,18.9798777867406,18.9798777867406
"ITF6",2009,19.0639147780192,19.0639147780192
"ITF6",2010,19.2017406435378,19.2017406435378
"ITF6",2011,19.6906740508543,19.6906740508543
"ITF6",2012,19.5385627774044,19.5385627774044
"ITF6",2013,19.4970297875258,19.4970297875258
"ITF6",2014,20.0952811224924,20.0952811224924
"ITF6",2015,NA,19.4676011702177
"ITF6",2016,19.0968520919645,19.0968520919645
"ITF6",2017,19.6493066121647,19.6493066121647
"ITF6",2018,19.1864431875299,19.1864431875299
"ITF6",2019,19.593870511284,19.593870511284
"ITF6",2020,18.5958684346251,18.5958684346251
"ITG1",2009,20.9156497803943,20.9156497803943
"ITG1",2010,20.5702907316472,20.5702907316472
"ITG1",2011,20.5834419361589,20.5834419361589
"ITG1",2012,20.649955461205,20.649955461205
"ITG1",2013,20.9548090306295,20.9548090306295
"ITG1",2014,21.0767011172121,21.0767011172121
"ITG1",2015,NA,20.8731162150681
"ITG1",2016,20.737386350439,20.737386350439
"ITG1",2017,20.7083375483439,20.7083375483439
"ITG1",2018,20.9481689863315,20.9481689863315
"ITG1",2019,20.7909197801101,20.7909197801101
"ITG1",2020,21.359242563818,21.359242563818
"ITG2",2009,20.0412480765732,20.0412480765732
"ITG2",2010,20.6286143757893,20.6286143757893
"ITG2",2011,20.2550245001108,20.2550245001108
"ITG2",2012,19.9364751891368,19.9364751891368
"ITG2",2013,20.133105468596,20.133105468596
"ITG2",2014,20.4067401192861,20.4067401192861
"ITG2",2015,NA,20.0802441782249
"ITG2",2016,20.4817999237062,20.4817999237062
"ITG2",2017,19.782357191105,19.782357191105
"ITG2",2018,20.2979981528402,20.2979981528402
"ITG2",2019,21.0477497337748,21.0477497337748
"ITG2",2020,20.015074816039,20.015074816039
"ITH1",2009,19.1781021752648,19.1781021752648
"ITH1",2010,19.3096214095368,19.3096214095368
"ITH1",2011,19.5038961230853,19.5038961230853
"ITH1",2012,19.536124497801,19.536124497801
"ITH1",2013,20.0025797386812,20.0025797386812
"ITH1",2014,20.6290936939994,20.6290936939994
"ITH1",2015,NA,19.2901156494547
"ITH1",2016,20.845650154017,20.845650154017
"ITH1",2017,18.5386305818743,18.5386305818743
"ITH1",2018,17.9752093382402,17.9752093382402
"ITH1",2019,16.6935843892873,16.6935843892873
"ITH1",2020,18.918499443644,18.918499443644
"ITH2",2009,20.0980634035189,20.0980634035189
"ITH2",2010,19.025420528414,19.025420528414
"ITH2",2011,19.5658470941622,19.5658470941622
"ITH2",2012,20.1865364202755,20.1865364202755
"ITH2",2013,20.0700894600553,20.0700894600553
"ITH2",2014,19.3155030256311,19.3155030256311
"ITH2",2015,NA,20.2282381720058
"ITH2",2016,20.0027517890774,20.0027517890774
"ITH2",2017,18.9134152964701,18.9134152964701
"ITH2",2018,20.1065203728519,20.1065203728519
"ITH2",2019,19.9187755711039,19.9187755711039
"ITH2",2020,20.1772898167813,20.1772898167813
"ITH3",2009,21.2415708480877,21.2415708480877
"ITH3",2010,21.4151493069654,21.4151493069654
"ITH3",2011,21.1685537575635,21.1685537575635
"ITH3",2012,21.4252164804579,21.4252164804579
"ITH3",2013,20.7169447845419,20.7169447845419
"ITH3",2014,21.1137856785109,21.1137856785109
"ITH3",2015,NA,21.2789853775611
"ITH3",2016,21.3025425260569,21.3025425260569
"ITH3",2017,20.786471715191,20.786471715191
"ITH3",2018,21.2537918132434,21.2537918132434
"ITH3",2019,21.4750227709039,21.4750227709039
"ITH3",2020,21.4259647067937,21.4259647067937
"ITH4",2009,20.6341479457474,20.6341479457474
"ITH4",2010,20.6468722343962,20.6468722343962
"ITH4",2011,20.8216961357494,20.8216961357494
"ITH4",2012,20.4288536597402,20.4288536597402
"ITH4",2013,19.9300842827522,19.9300842827522
