"sender","year","count"
"AT13","2012","36"
"FRF3","2015","50"
"DE71","2021","47"
"FRD1","2008","43"
"NL11","2017","141"
"DEF0","2021","193"
"DEA2","2015","126"
"UKE4","1990","13"
"ITC1","2017","113"
"ES22","1993","13"
"SE12","1990","17"
"NL22","2020","92"
"DE50","2015","72"
"DE91","2013","1807"
"BE10","2003","79"
"DE13","1995","3"
"ES51","2007","71"
"UKJ4","2016","241"
"UKD7","2019","298"
"UKE4","2009","61"
"DED5","2015","203"
"UKG3","1999","138"
"UKL1","1998","10"
"HU11","2005","20"
"ES52","2013","50"
"FRJ1","2011","27"
"DE13","2020","418"
"UKJ1","1964","17"
"ES24","1992","74"
"BE23","2016","355"
"NL33","2007","64"
"PL82","2010","26"
"FRF1","1978","3"
"FRK2","2010","38"
"FRG0","2009","34"
"UKG1","1987","67"
"ITH5","1997","5"
"ITH5","2006","38"
"CZ08","2018","12"
"UKM8","2012","85"
"ES52","2000","25"
"UKK4","2009","349"
"DE30","2008","57"
"ES52","2014","253"
"ES42","2020","45"
"ITF3","2020","260"
"UKK2","2014","24"
"UKI5","2008","1352"
"UKK4","2019","259"
"UKI5","1999","107"
"RO42","2019","10"
"UKC2","2015","49"
"PL91","2021","142"
"NL31","2017","80"
"SE12","2019","1462"
"HU32","2021","65"
"DEA2","1995","15"
"PL82","2017","10"
"DK04","1990","16"
"SK01","2011","9"
"DE92","2020","1395"
"DEB3","2019","113"
"DE12","1999","34"
"UKE1","2017","24"
"SK01","2020","18"
"ITC1","2021","1037"
"CZ05","2020","25"
"LT01","2017","19"
"UKJ2","2020","108"
"ITC3","2014","871"
"UKL2","2017","229"
"DK04","1997","7"
"UKL1","2019","67"
"NL21","2015","28"
"ITH3","2008","20"
"LV00","2021","19"
"PL91","2019","606"
"ITI4","1986","9"
"ITI3","2019","121"
"DE24","2017","70"
"UKK1","2015","52"
"ES41","2010","20"
"UKK4","2015","1407"
"CZ03","2018","23"
"ITI1","2018","95"
"CH04","2011","3057"
"HU32","2017","11"
"UKD3","2007","392"
"PL51","2010","28"
"ITC1","2013","137"
"UKC2","2017","691"
"UKM8","2014","222"
"NL33","2016","182"
"IE06","2020","88"
"ES52","2021","1113"
"ES51","2001","919"
"ITG2","2016","15"
"PT16","2005","45"
"PL91","2012","109"
"ES41","2019","201"
"UKE4","2005","1290"
"BE24","2006","85"
"DEG0","2021","177"
"ITH5","1975","1"
"PT16","1995","13"
"DK04","1999","49"
"CH02","2017","161"
"DEA1","2016","42"
"FRG0","2003","6"
"UKN0","2018","130"
"PL51","2016","27"
"FRJ2","2015","131"
"ITF6","2010","6"
"BG42","2012","4"
"DK01","2013","35"
"UKH2","2018","29"
"NL31","1991","18"
"UKK1","1986","11"
"ITH3","1998","43"
"SE12","2015","50"
"HU12","2018","332"
"CH02","2006","255"
"HR06","2012","6"
"UKD3","1996","265"
"FRK2","2013","59"
"ES70","2019","30"
"ITC1","1997","3"
"ITI3","2009","15"
"ITC4","2017","6436"
"NL41","2012","217"
"UKK4","2016","104"
"UKG1","1995","219"
