"year","country","ted","score","flow_in","flow_out","gdp","edu_index","r3score"
"2018","EL",19.1051744791699,0.004,998,990,29617.5483399732,0.88,0.15874010519682
"2018","ES",24.1928861626911,0.06,29515,29455,40696.3876815487,0.906,0.391486764116886
"2018","FI",22.0357920140627,0.036,1264,796,49580.6051952837,0.936,0.330192724889463
"2018","FR",24.1728957596715,0.152,3535,4404,46576.6018489382,0.898,0.533680329744389
"2018","HR",21.8837673834353,0,95,81,28877.2382842567,0.848,0
"2018","HU",22.8323353731912,0,1076,677,31913.0746552476,0.85,0
"2018","IE",20.6981612411423,0.044,962,723,84555.6348017403,0.95,0.353034833532606
"2018","IS",19.6364464823663,0,47,36,57211.3003077603,0.946,0
"2018","IT",24.5374595969276,0.076,7115,8863,43036.2437770367,0.89,0.423582358425489
"2018","LT",16.7723863614452,0.004,273,271,36376.1898152469,0.877,0.15874010519682
"2018","LU",16.1992123102334,0,136,93,116965.586110774,0.913,0
"2018","LV",14.6369831331793,0,222,221,30877.0419264807,0.864,0
"2018","MT",20.9726383769603,0,11,13,45568.7232072745,0.808144126,0
"2018","NL",23.2525022340684,0.124,3119,3088,57826.6284976675,0.941,0.498663095223865
"2018","NO",23.2546033063376,0.024,2506,1698,69808.3294106839,0.955,0.288449914061482
"2018","PL",24.1888477945641,0.008,2133,1833,31953.0350337072,0.876,0.2
"2018","PT",21.7328875536773,0.016,694,627,34928.5435337746,0.86,0.251984209978975
"2018","RO",22.9826416426478,0,235,191,29342.0411489328,0.824,0
"2018","SE",23.3148915568401,0.076,4036,2853,53521.6306428288,0.943,0.423582358425489
"2018","SI",21.6510446346224,0,436,605,38961.5443523867,0.912,0
"2018","SK",22.0089499625248,0,105,135,31214.5925736482,0.858,0
"2018","UK",25.8771658783588,1.344,14442,14492,47573.4880155177,0.929,1.10356967055245
"2019","AT",22.9999918606986,0.028,1740,1608,58076.348801448,0.921,0.303658897187566
"2019","BE",22.7081117753593,0.064,3145,3013,54278.3894505636,0.932,0.4
"2019","BG",21.4376939990374,0,522,428,24497.6272661983,0.816,0
"2019","CH",23.5111970363667,0.296,2554,2268,72033.9294404588,0.956,0.666444370329191
"2019","CY",18.8587443112844,0,220,124,42338.87890625,0.887,0
"2019","CZ",22.8572212947393,0.004,983,747,42847.0047376207,0.9,0.15874010519682
"2019","DE",31.8943338160733,0.208,14758,14665,55652.8874913932,0.948,0.592499213681474
"2019","DK",23.4477721654131,0.044,975,922,58700.9746656312,0.94,0.353034833532606
"2019","EE",21.492291875627,0.004,196,174,37851.3007726135,0.892,0.15874010519682
"2019","EL",19.4447336083111,0.004,822,980,30356.2663953863,0.889,0.15874010519682
"2019","ES",24.6210661824198,0.072,4474,3989,41695.1469476327,0.904,0.416016764610381
"2019","FI",22.6633956580426,0.036,1189,901,50321.5396907229,0.938,0.330192724889463
"2019","FR",25.1519614522877,0.152,3548,3836,49072.3638300842,0.901,0.533680329744389
"2019","HR",21.9321980868305,0,161,224,30543.9337537029,0.85,0
"2019","HU",24.1156698424347,0.004,308,262,33514.9417935891,0.855,0.15874010519682
"2019","IE",20.8291880153755,0.028,744,707,87379.6929656668,0.956,0.303658897187566
"2019","IS",20.5446104509241,0,32,23,58290.0968315122,0.949,0
"2019","IT",24.6793077207112,0.072,23060,21108,44376.1625028912,0.892,0.416016764610381
"2019","LT",14.9379202485587,0.004,61,42,38540.7814542339,0.882,0.15874010519682
"2019","LU",15.9465641607723,0,595,312,117341.915064354,0.917,0
"2019","LV",15.0926717059869,0,409,360,31883.2591148032,0.866,0
"2019","MT",21.4338326188414,0,30,31,47407.8807867595,0.827904202,0
"2019","NL",27.7350226043696,0.136,1603,1626,59004.3249664016,0.944,0.514256318131647
"2019","NO",23.3717739937707,0.024,3405,1745,66799.1647159421,0.957,0.288449914061482
"2019","PL",24.2417430799168,0.008,3362,3099,33797.7673600747,0.881,0.2
"2019","PT",21.8923956641661,0.016,439,342,36172.0725393171,0.864,0.251984209978975
"2019","RO",23.9396230959125,0,220,312,31867.2631876811,0.828,0
"2019","SE",23.712118882028,0.064,13722,12559,54598.7803541484,0.945,0.4
"2019","SI",21.7388294715768,0,183,102,40670.8778673103,0.917,0
"2019","SK",21.9677631604924,0,84,73,31966.5548434084,0.86,0
"2019","UK",30.7686122348725,1.416,16541,17276,49041.4635475451,0.932,1.1229344816003
"2020","AT",23.5550276805035,0.028,938,762,55685.9702933361,0.925968142125103,0.303658897187566
"2020","BE",22.8999715152947,0.06,4987,4960,53070.2148197652,0.934900362059728,0.391486764116886
"2020","BG",22.7081777710629,0,155,147,24564.4376812432,0.823840357693823,0
