"sender","receiver","year","count"
"UKD3","UKG2","2019","5"
"BR","FRL0","2019","7"
"BG42","BG41","1979","1"
"US","FR10","2016","37"
"NL33","NL21","2019","6"
"CZ01","DE11","2018","1"
"FR10","CN","2015","16"
"ITC4","ITI4","2020","21"
"ITC4","IL","2018","1"
"FRD1","BF","2005","1"
"NL32","NL22","2011","7"
"UKI5","UKH1","2015","37"
"IE06","UKI5","2014","9"
"UKJ3","SA","1990","1"
"ES51","PE","2019","21"
"DE91","ES52","2019","1"
"GT","ES61","2005","1"
"UKC1","UKE4","2016","5"
"ES52","US","2016","9"
"NO0B","NO0A","2020","1"
"PL91","UA","2020","5"
"BG41","BG42","2000","1"
"SE11","SE23","2021","3"
"ES23","MX","2018","3"
"DK01","NL22","2019","4"
"DEF0","DEG0","2018","1"
"ITI4","ITG1","2020","6"
"UKF3","BH","2019","1"
"UKI5","RU","2014","6"
"RO21","DEA1","2013","1"
"VN","KR","2016","1"
"BE21","BE10","2015","5"
"UKJ2","AU","2016","5"
"UKI5","GB","2019","46"
"JP","SI04","2008","1"
"UKI5","QA","2016","5"
"DE23","ES51","2018","1"
"HU11","UKE1","2016","1"
"ES61","SE12","2021","1"
"HU11","HU","2016","4"
"FR10","FRK1","2016","3"
"IR","IE05","2020","3"
"US","CH01","2014","20"
"CZ08","CZ07","2005","3"
"IN","DE92","2003","1"
"DE71","UKE4","2018","2"
"ITC1","FR10","2012","1"
"AT33","US","2020","5"
"PL21","PL91","2020","27"
"UKH3","UKI5","2013","6"
"LB","UKM5","2020","1"
"IE06","IE05","2018","24"
"CO","ES30","2014","29"
"PT16","FR10","2016","9"
"UKD7","UKG1","2016","3"
"DE92","AT13","2011","3"
"NL41","NL33","2020","16"
"FRL0","FR","2017","4"
"SE12","ITC4","2020","3"
"CA","FR10","2017","8"
"AU","UKI5","2016","17"
"LT","LT01","2007","1"
"ZW","ZA","2020","3"
"FRJ2","CN","2016","10"
"PE","FRJ2","2011","1"
"KW","UKD7","2019","1"
"CH02","ES52","2018","1"
"CH04","AT13","2019","6"
"CZ01","SK03","2003","2"
"FR10","US","2013","29"
"NO08","NO","2018","3"
"UKI5","IR","1996","7"
"DE11","DE40","2011","2"
"ID","NL11","2019","8"
"CN","SE12","2014","4"
"UKI5","KZ","2017","3"
"FRE1","FRI3","2016","2"
"FI19","FI1C","2009","4"
"US","UKJ1","2002","2"
"JP","CN","2014","7"
"US","DK01","2017","18"
"DE50","DE40","2021","2"
"US","PT16","2018","14"
"CH01","US","2019","71"
"GB","UKE4","2015","5"
"PL51","PL43","2018","6"
"FI1B","FI1D","2015","11"
"UKJ3","BE25","2020","1"
"PT11","ES52","2021","2"
"UKI5","SA","2016","9"
"PL42","PL43","2009","3"
"UKM7","GB","2020","39"
"SE12","SE11","2018","46"
"FRC1","ID","2015","1"
"US","PT11","2020","16"
"SE22","UKE1","2018","1"
"BR","ITH5","2015","4"
"VE","BE10","2002","1"
"UKI5","PL52","2014","1"
"ITH5","ITC4","2020","18"
"IN","SE11","2014","3"
"DE30","LU00","2019","3"
"UKG1","UKF1","2016","28"
