sender;receiver;dist
CZ02;BE33;627936.5097
CZ03;BE33;597081.2641
CZ04;BE33;542879.6408
CZ05;BE33;712930.8145
CZ06;BE33;762689.4059
CZ07;BE33;840416.765
CZ08;BE33;877623.0168
DE11;BE33;324335.6152
DE12;BE33;268196.43
DE13;BE33;330994.9764
DE14;BE33;380100.2847
DE21;BE33;510075.8659
DE22;BE33;545809.8815
DE23;BE33;472330.016
DE24;BE33;402596.3251
DE25;BE33;382810.6211
DE26;BE33;302077.0517
DE27;BE33;434206.0536
DE30;BE33;573705.5411
DE40;BE33;572637.2463
DE50;BE33;356275.8071
DE60;BE33;445552.2091
DE71;BE33;220791.2963
DE72;BE33;212317.3677
DE73;BE33;267603.9242
DE80;BE33;585524.8594
DE91;BE33;362473.7911
DE92;BE33;326738.862
DE93;BE33;406616.1489
DE94;BE33;299530.0763
DEA1;BE33;118794.3613
DEA2;BE33;82430.47428
DEA3;BE33;196752.466
DEA4;BE33;264976.1383
DEA5;BE33;182202.1116
FRG0;BE33;582935.8106
FRH0;BE33;670973.2692
PL21;BE33;1035353.708
PL22;BE33;940384.6437
PL41;BE33;823362.1019
PL42;BE33;750953.7257
PL43;BE33;691001.4746
PL51;BE33;751474.9953
PL52;BE33;858592.1859
PL61;BE33;922170.1846
PL62;BE33;1090295.597
AT11;BE33;851757.0194
AT12;BE33;765319.6769
AT13;BE33;811941.4524
AT21;BE33;727396.6415
AT22;BE33;765128.4342
AT31;BE33;648985.3116
AT32;BE33;635671.1447
AT33;BE33;543167.1547
AT34;BE33;473153.7457
BE10;BE33;105274.6953
BE21;BE33;107144.1398
BE22;BE33;56960.09197
BE23;BE33;148782.1688
BE24;BE33;91765.14017
BE25;BE33;197505.416
ITH4;BE33;725381.3493
ITH5;BE33;774784.9471
ITI1;BE33;880799.9139
ITI2;BE33;981367.1598
BE35;BE33;66985.47195
BG31;BE33;1579860.55
BG32;BE33;1722612.76
BG33;BE33;1814321.251
BG34;BE33;1818557.593
BG41;BE33;1620532.684
BG42;BE33;1756009.459
CH01;BE33;476307.8437
CH02;BE33;417329.1982
CH03;BE33;382991.0216
CH04;BE33;404579.7606
PL81;BE33;1201780.875
PL82;BE33;1166603.664
PL84;BE33;1215634.322
PL91;BE33;1084267.585
PL92;BE33;1082190.908
PT11;BE33;1442084.401
PT15;BE33;1839468.917
PT16;BE33;1572141.136
PT17;BE33;1748943.928
PT18;BE33;1720536.79
PT20;BE33;2996744.15
PT30;BE33;2890316.492
EL65;BE33;1970520.957
ES11;BE33;1350427.215
ES12;BE33;1196217.412
ES13;BE33;1104699.306
ES21;BE33;1042646.851
ES22;BE33;1033186.527
ES23;BE33;1113610.281
ES24;BE33;1117808.899
ES30;BE33;1333836.872
ES41;BE33;1266024.179
ES42;BE33;1396642.229
ES43;BE33;1566203.505
ES51;BE33;1020659.197
ES52;BE33;1330426.468
ES53;BE33;1232418.49
ES61;BE33;1666302.541
ES62;BE33;1503376.455
ES63;BE33;1852335.455
ES64;BE33;1830924.024
ES70;BE33;3102116.983
FI19;BE33;1704201.711
FI1B;BE33;1611070.52
FI1C;BE33;1661180.721
FI1D;BE33;2065806.48
FI20;BE33;1401953.07
FR10;BE33;304282.0658
FRB0;BE33;447942.642
FRC1;BE33;380551.1013
FRC2;BE33;370752.4373
FRD1;BE33;481166.1027
FRD2;BE33;359776.3392
FRE1;BE33;212454.3316
FRE2;BE33;232157.5521
FRF1;BE33;272034.3602
FRF2;BE33;213289.9971
FRF3;BE33;199349.4961
UKK2;BE33;594436.6239
UKK3;BE33;744892.226
UKK4;BE33;673151.0407
UKL1;BE33;705057.847
FRI1;BE33;816416.2625
FRI2;BE33;606306.8248
FRI3;BE33;646595.1217
FRJ1;BE33;790715.0403
FRJ2;BE33;815798.6356
FRK1;BE33;572452.8952
FRK2;BE33;563917.639
FRL0;BE33;728073.4294
FRM0;BE33;966665.6686
FRY1;BE33;7023498.522
FRY2;BE33;7116689.043
FRY3;BE33;7526218.953
FRY4;BE33;9338403.39
FRY5;BE33;8017836.829
HR03;BE33;1004854.104
HR02;BE33;1027500.899
HU11;BE33;1028603.921
HU12;BE33;1046762.43
HU21;BE33;971606.1046
HU22;BE33;899507.9566
HU23;BE33;1014330.038
HU31;BE33;1102778.028
HU32;BE33;1176742.005
HU33;BE33;1138701.314
IE04;BE33;1043165.059
IE05;BE33;999772.6932
IE06;BE33;929667.9124
DK03;BE33;585499.2337
DK04;BE33;682602.1906
DK05;BE33;769255.506
EE00;BE33;1571522.997
EL30;BE33;1977870.885
EL41;BE33;2186592.994
EL42;BE33;2382329.498
EL43;BE33;2291394.302
EL51;BE33;1816557.601
