nuts2;year;flow_in;flow_out;gdp;score;ted;edu_index
CH01;2012;60;44;59081.60439;0.068;19.76025872;0.903
CH01;2013;556;572;59966.0841;0.128;20.53153533;0.902
CH01;2014;59;67;61467.01002;0.128;20.53329038;0.887
CH01;2015;85;108;62759.19425;0.128;20.93107024;0.899
CH01;2016;428;369;65724.14957;0.128;21.0451149;0.891
CH01;2017;6529;4845;65792.59085;0.128;21.13542593;0.898
CH01;2018;664;550;69077.19938;0.128;20.45262256;0.912
CH01;2019;852;875;69427.93199;0.056;20.58204553;0.911
CH01;2020;1122;992;70305.25323;0.116;21.18911549;0.901427406
CH02;2009;13;14;47738.00415;0.008;19.95159439;0.857
CH02;2010;103;66;49199.23549;0.008;20.29105048;0.865
CH02;2011;85;48;52412.45376;0.008;20.82524019;0.866
CH02;2012;70;97;53884.63919;0.008;20.82601069;0.873
CH02;2013;26;25;56257.0789;0.008;21.17087468;0.875
CH02;2014;76;96;58256.00949;0.008;21.95060781;0.862
CH02;2015;44;24;60334.18674;0.008;21.07166984;0.875
CH02;2016;141;103;61330.13957;0.008;21.66314536;0.869
CH02;2017;129;82;62077.61396;0.008;21.696785;0.871
CH02;2018;496;425;64003.18474;0.008;21.80065118;0.882
CH02;2019;520;469;64961.93637;0.008;21.85204782;0.882
CH02;2020;756;559;68352.68269;0.008;23.05477824;0.876205098
CH03;2009;20;16;56195.00489;0.008;19.3268257;0.853
CH03;2010;594;463;56988.28078;0.008;19.66848474;0.858
CH03;2011;43;34;60539.52412;0.008;18.98693709;0.859
CH03;2012;19;25;62140.5839;0.008;17.98243697;0.866
CH03;2013;28;16;64384.0903;0.008;19.28633507;0.873
CH03;2014;511;330;66395.01082;0.008;19.88570304;0.857
CH03;2015;2401;1537;69045.2137;0.008;19.60920704;0.867
CH03;2016;50;42;72133.16415;0.008;20.30015065;0.865
CH03;2017;340;221;74753.53513;0.008;20.1198975;0.866
CH03;2018;304;213;76430.22061;0.008;20.06313423;0.879
CH03;2019;664;556;76672.9249;0.008;19.9102239;0.88
CH03;2020;215;118;78791.84403;0.008;20.21446707;0.882902126
CH04;2009;38;47;67775.00589;0.12;19.05369273;0.924
CH04;2010;75;96;68380.7349;0.108;18.56989645;0.929
CH04;2011;44;61;71940.62283;0.108;18.73916769;0.935
CH04;2012;46;35;74250.50282;0.12;19.11959884;0.943
CH04;2013;132;147;76844.10777;0.12;18.38480207;0.946
CH04;2014;59;58;79406.01294;0.12;18.36232043;0.932
CH04;2015;73;72;81341.25176;0.12;19.75261608;0.944
CH04;2016;760;648;82998.18888;0.22;21.83171924;0.944
CH04;2017;91;92;84812.47258;0.22;20.92323177;0.944
CH04;2018;575;447;89026.25697;0.22;21.44966981;0.958
CH04;2019;268;208;87371.91442;0.22;23.15935726;0.96
CH04;2020;248;230;91360.48975;0.22;20.82566095;0.955590322
CH05;2009;1;1;45559.00396;0.004;10.25703689;0.832
CH05;2010;5;2;47487.56627;0.004;13.80291207;0.837
CH05;2011;21;10;50496.43718;0.004;16.46799425;0.839
CH05;2012;22;15;51997.65182;0.004;13.67221875;0.844
CH05;2013;10;8;54468.07639;0.004;12.19734326;0.846
CH05;2014;13;10;56060.00914;0.004;12.32012736;0.834
CH05;2015;16;7;57400.17766;0.004;15.91061135;0.845
CH05;2016;29;8;59471.13534;0.004;20.11015648;0.843
CH05;2017;145;99;59982.62699;0.004;18.91863167;0.845
CH05;2018;23;21;61540.17763;0.004;19.46356457;0.859
CH05;2019;156;106;62690.93859;0.004;19.32080753;0.859
CH05;2020;43;38;66408.02231;0.004;19.08025018;0.855121501
CH06;2009;164;54;50066.00435;0;15.09904844;0.85
CH06;2010;2;2;53144.77808;0;15.28440892;0.851
CH06;2011;14;4;55709.48231;0;15.03477347;0.853
CH06;2012;22;8;57645.614;0;15.84689813;0.86
CH06;2013;1;165;61252.0859;0;16.27560659;0.864
CH06;2014;8;6;62395.01017;0;15.05198767;0.849
CH06;2015;17;14;64099.19839;0;17.10940244;0.859
CH06;2016;158;136;66292.15086;0;19.25902639;0.862
CH06;2017;12;6;67392.5809;0;18.35280516;0.863
CH06;2018;73;52;68863.19877;0;17.64491588;0.873
CH06;2019;73;36;70097.93134;0;18.60397924;0.87
CH06;2020;19;15;73766.36191;0;18.28289844;0.87214881
CH07;2009;15;10;52944.0046;0;18.65966322;0.845
CH07;2010;7;5;54702.38706;0;18.13463441;0.848
CH07;2011;3;2;58356.50523;0;17.77933885;0.852
CH07;2012;163;162;60592.59427;0;18.09750411;0.858
CH07;2013;6;10;64025.08979;0;17.54951791;0.861
CH07;2014;84;50;66131.01078;0;18.98939348;0.853
CH07;2015;195;68;69710.21576;0;18.52968514;0.87
CH07;2016;68;48;71574.16288;0;18.45911684;0.863
CH07;2017;10;14;70480.5617;0;18.87770607;0.867
CH07;2018;30;14;74254.21433;0;19.01898028;0.88
CH07;2019;21;18;75808.92574;0;17.7131409;0.877
CH07;2020;110;111;78832.9326;0;18.9239953;0.876695174
CY00;2009;124;60;33884.87891;0;19.82053545;0.851306736
CY00;2010;14;6;33423.5;0;19.5548889;0.861940275
CY00;2011;32;24;33313.57813;0;19.87789071;0.878471335
CY00;2012;40;21;31834.51758;0;19.78954529;0.879869498
CY00;2013;58;36;30375.0918;0;19.3254736;0.87881103
CY00;2014;19;16;30080.23047;0;18.73164271;0.881733956
CY00;2015;29;22;31815.27344;0;18.98949968;0.886137629
CY00;2016;64;44;35719.15234;0;19.51458129;0.892246657
CY00;2017;384;279;38287.96875;0;18.12378192;0.897486975
CY00;2018;129;152;40559.125;0;18.12260842;0.90437117
CY00;2019;220;124;42338.87891;0;18.85874431;0.90471053
CY00;2020;360;329;39593.42578;0;20.41151024;0.908379863
CZ01;2009;15;14;61541.24757;0.012;21.52749719;0.941
CZ01;2010;46;27;63385.00725;0.008;20.19422089;0.95
CZ01;2011;27;17;64283.28711;0.004;20.43121525;0.956
CZ01;2012;79;63;64360.40879;0.004;20.52536154;0.95
CZ01;2013;76;62;68326.98979;0.012;21.14857188;0.956
CZ01;2014;80;74;71722.12895;0.012;21.22433816;0.965
CZ01;2015;38;50;75167.98326;0.012;21.58570306;0.96
CZ01;2016;137;88;80145.50036;0.008;22.48103888;0.96
CZ01;2017;93;70;85499.61656;0.004;21.98053315;0.966
