"sender","receiver","year","ted_send","score_send","gdp_send","edu_send","r3score_send","ted_rec","score_rec","gdp_rec","edu_rec","r3score_rec","dist","count"
"NL","CH",2019,27.7350226043696,0.136,59004.3249664016,0.944,0.514256318131647,23.5111970363667,0.296,72033.9294404588,0.956,0.666444370329191,637211.4175,53
"NL","CH",2020,23.4997897211768,0.144,59266.9085805339,0.948729755766629,0.524148278841779,23.3653078401046,0.356,82102.38483,0.956804208477966,0.708734106150075,637211.4175,41
"NL","CY",2009,21.2172404897985,0.164,44556.9211528341,0.912,0.547370367479843,19.8205354519693,0,33884.87890625,0.862,0,2901881.521,0
"NL","CY",2010,21.7359930493682,0.144,45043.9042332404,0.917,0.524148278841779,19.5548889015208,0,33423.5,0.856,0,2901881.521,0
"NL","CY",2011,21.8257423934517,0.136,46599.02103045,0.928,0.514256318131647,19.8778907082287,0,33313.578125,0.859,0,2901881.521,0
"NL","CY",2012,22.0314315452667,0.148,47272.1030187972,0.929,0.528957247269421,19.7895452941604,0,31834.517578125,0.859,0,2901881.521,0
"NL","CY",2013,21.8296057754383,0.172,49241.5178406305,0.93,0.556129776652124,19.3254735962617,0,30375.091796875,0.861,0,2901881.521,0
"NL","CY",2014,22.2636965801563,0.192,49233.2153954401,0.932,0.576899828122963,18.7316427133376,0,30080.23046875,0.862,0,2901881.521,0
"NL","CY",2015,22.7257663768372,0.192,50288.5913949377,0.935,0.576899828122963,18.9894996835205,0,31815.2734375,0.866,0,2901881.521,1
"NL","CY",2016,22.8132828360285,0.16,52288.4150841353,0.936,0.542883523318981,19.5145812864914,0,35719.15234375,0.873,0,2901881.521,1
"NL","CY",2017,23.094422140359,0.124,55088.6338006744,0.939,0.498663095223865,18.1237819211821,0,38287.96875,0.878,0,2901881.521,0
"NL","CY",2018,23.2525022340684,0.124,57826.6284976675,0.941,0.498663095223865,18.1226084186226,0,40559.125,0.885,0,2901881.521,0
"NL","CY",2019,27.7350226043696,0.136,59004.3249664016,0.944,0.514256318131647,18.8587443112844,0,42338.87890625,0.887,0,2901881.521,0
"NL","CY",2020,23.4997897211768,0.144,59266.9085805339,0.948729755766629,0.524148278841779,20.4115102392455,0,39593.42578125,0.887765073871851,0,2901881.521,2
"NL","CZ",2009,21.2172404897985,0.164,44556.9211528341,0.912,0.547370367479843,21.904121905541,0.016,27761.5091540229,0.865,0.251984209978975,737588.2428,0
"NL","CZ",2010,21.7359930493682,0.144,45043.9042332404,0.917,0.524148278841779,21.3469352617356,0.008,27881.9679972276,0.87,0.2,737588.2428,1
"NL","CZ",2011,21.8257423934517,0.136,46599.02103045,0.928,0.514256318131647,21.3676310774218,0.004,29001.3680365492,0.874,0.15874010519682,737588.2428,0
"NL","CZ",2012,22.0314315452667,0.148,47272.1030187972,0.929,0.528957247269421,21.3828682500635,0.004,29254.7312685144,0.875,0.15874010519682,737588.2428,1
"NL","CZ",2013,21.8296057754383,0.172,49241.5178406305,0.93,0.556129776652124,21.7975537076447,0.012,30818.1081558477,0.882,0.228942848510666,737588.2428,0
"NL","CZ",2014,22.2636965801563,0.192,49233.2153954401,0.932,0.576899828122963,21.9553855059524,0.012,32502.4753540118,0.887,0.228942848510666,737588.2428,3
"NL","CZ",2015,22.7257663768372,0.192,50288.5913949377,0.935,0.576899828122963,22.1519455216374,0.012,33899.2865661657,0.892,0.228942848510666,737588.2428,1
"NL","CZ",2016,22.8132828360285,0.16,52288.4150841353,0.936,0.542883523318981,22.6933857839402,0.008,36097.7052556977,0.893,0.2,737588.2428,3
"NL","CZ",2017,23.094422140359,0.124,55088.6338006744,0.939,0.498663095223865,22.4786045059172,0.004,38824.8879170919,0.896,0.15874010519682,737588.2428,3
"NL","CZ",2018,23.2525022340684,0.124,57826.6284976675,0.941,0.498663095223865,23.063513983567,0.008,41135.4929835656,0.898,0.2,737588.2428,6
